Title,Genre,Plot Summary
The Shawshank Redemption 1,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 1,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 1,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 1,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 1,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 1,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 1,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 1,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 1,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 1,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 2,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 2,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 2,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 2,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 2,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 2,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 2,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 2,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 2,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 2,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 3,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 3,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 3,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 3,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 3,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 3,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 3,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 3,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 3,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 3,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 4,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 4,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 4,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 4,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 4,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 4,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 4,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 4,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 4,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 4,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 5,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 5,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 5,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 5,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 5,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 5,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 5,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 5,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 5,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 5,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 6,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 6,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 6,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 6,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 6,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 6,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 6,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 6,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 6,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 6,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 7,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 7,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 7,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 7,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 7,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 7,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 7,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 7,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 7,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 7,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 8,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 8,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 8,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 8,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 8,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 8,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 8,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 8,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 8,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 8,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 9,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 9,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 9,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 9,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 9,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 9,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 9,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 9,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 9,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 9,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 10,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 10,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 10,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 10,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 10,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 10,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 10,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 10,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 10,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 10,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 11,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 11,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 11,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 11,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 11,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 11,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 11,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 11,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 11,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 11,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 12,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 12,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 12,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 12,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 12,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 12,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 12,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 12,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 12,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 12,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 13,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 13,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 13,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 13,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 13,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 13,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 13,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 13,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 13,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 13,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 14,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 14,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 14,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 14,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 14,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 14,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 14,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 14,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 14,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 14,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 15,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 15,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 15,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 15,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 15,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 15,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 15,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 15,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 15,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 15,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 16,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 16,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 16,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 16,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 16,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 16,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 16,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 16,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 16,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 16,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 17,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 17,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 17,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 17,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 17,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 17,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 17,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 17,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 17,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 17,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 18,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 18,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 18,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 18,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 18,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 18,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 18,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 18,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 18,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 18,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 19,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 19,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 19,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 19,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 19,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 19,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 19,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 19,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 19,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 19,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
The Shawshank Redemption 20,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Godfather 20,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
The Dark Knight 20,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham."
Pulp Fiction 20,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Forrest Gump 20,"Drama, Romance","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75."
Inception 20,"Action, Adventure, Sci-Fi",A thief who enters the dreams of others to steal secrets from their subconscious is given a chance to have his past crimes erased as payment for a seemingly impossible task.
Fight Club 20,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Matrix 20,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
Interstellar 20,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Green Mile 20,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
